"act_key","avg_presence","avg_people_cnt","avg_activity","max_activity","cnt"
"5540248","0","0.0000","0","0","0"
"5540249","0","0.0000","0","0","0"
"5540250","0","0.0000","0","0","0"
"5540251","0","0.0000","0","0","0"
"5540252","0","0.0000","0","0","0"
"5540253","0","0.0000","0","0","0"
"5540254","0","0.0000","0","0","0"
"5540255","0","0.0000","0","0","0"
"5540256","0","0.0000","0","0","0"
"5540257","1","1.0000","0.00834444","34.5675","9"
"5540258","0","0.0000","0","0","0"
"5540259","0","0.0000","0","0","0"
"5540260","0","0.0000","0","0","0"
"5540261","0","0.0000","0","0","0"
"5540262","0","0.0000","0","0","0"
"5540263","0","0.0000","0","0","0"
"5540264","0","0.0000","0","0","0"
"5540265","0","0.0000","0","0","0"
"5540266","1","2.0000","4.8014585","34.8327","41"
"5540267","0","0.0000","0","0","0"
"5540268","0","0.0000","0","0","0"
"5540269","0","0.0000","0","0","0"
"5540270","0","0.0000","0","0","0"
"5540271","0","0.0000","0","0","0"
"5540272","0","0.0000","0","0","0"
"5540273","0","0.0000","0","0","0"
"5540274","0","0.0000","0","0","0"
"5540275","0","0.0000","0","0","0"
"5540276","0","0.0000","0","0","0"
"5540277","0","0.0000","0","0","0"
"5540278","0","0.0000","0","0","0"
"5540279","0","0.0000","0","0","0"
"5540280","1","2.0000","6.147325","29.2364","16"
"5540281","1","2.0000","5.87757086","35.552","103"
"5540282","1","1.0000","0.89109999","0.8911","1"
"5540283","1","1.0000","7.28525768","38.702","26"
"5540284","1","1.0000","8.6103667","30.0673","15"
"5540285","0","0.0000","0","0","0"
"5540286","0","0.0000","0","0","0"
"5540287","0","0.0000","0","0","0"
"5540288","0","0.0000","0","0","0"
"5540289","1","1.0000","23.98877465","40.4521","4"
"5540290","0","0.0000","0","0","0"
"5540291","0","0.0000","0","0","0"
"5540292","0","0.0000","0","0","0"
"5540293","0","0.0000","0","0","0"
"5540294","1","2.0000","3.46358333","18.0616","18"
"5540295","1","2.0000","5.02515991","28.6785","10"
"5540296","0","0.0000","0","0","0"
"5540297","0","0.0000","0","0","0"
"5540298","0","0.0000","0","0","0"
"5540299","0","0.0000","0","0","0"
"5540300","0","0.0000","0","0","0"
"5540301","0","0.0000","0","0","0"
"5540302","0","0.0000","0","0","0"
"5540303","0","0.0000","0","0","0"
"5540304","0","0.0000","0","0","0"
"5540305","0","0.0000","0","0","0"
"5540306","0","0.0000","0","0","0"
"5540307","0","0.0000","0","0","0"
"5540308","0","0.0000","0","0","0"
"5540309","0","0.0000","0","0","0"
"5540310","0","0.0000","0","0","0"
"5540311","0","0.0000","0","0","0"
"5540312","0","0.0000","0","0","0"
"5540313","0","0.0000","0","0","0"
"5540314","0","0.0000","0","0","0"
"5540315","0","0.0000","0","0","0"
"5540316","0","0.0000","0","0","0"
"5540317","0","0.0000","0","0","0"
"5540318","0","0.0000","0","0","0"
"5540319","0","0.0000","0","0","0"
"5540320","0","0.0000","0","0","0"
"5540321","0","0.0000","0","0","0"
"5540322","0","0.0000","0","0","0"
"5540323","0","0.0000","0","0","0"
"5540324","0","0.0000","0","0","0"
"5540325","0","0.0000","0","0","0"
"5540326","0","0.0000","0","0","0"
"5540327","0","0.0000","0","0","0"
"5540328","0","0.0000","0","0","0"
"5540329","0","0.0000","0","0","0"
"5540330","0","0.0000","0","0","0"
"5540331","0","0.0000","0","0","0"
"5540332","0","0.0000","0","0","0"
"5540333","0","2.0000","0","0","0"
"5540334","0","0.0000","0","0","0"
"5540335","0","0.0000","0","0","0"
"5540336","0","0.0000","0","0","0"
"5540337","0","0.0000","0","0","0"
"5540338","0","0.0000","0","0","0"
"5540339","0","0.0000","0","0","0"
"5540340","0","0.0000","0","0","0"
"5540341","0","0.0000","0","0","0"
"5540342","0","0.0000","0","0","0"
"5540343","0","0.0000","0","0","0"
"5540344","0","0.0000","0","0","0"
"5540345","0","0.0000","0","0","0"
"5540346","0","0.0000","0","0","0"
"5540347","0","0.0000","0","0","0"
"5540348","0","0.0000","0","0","0"
"5540349","0","0.0000","0","0","0"
"5540350","0","0.0000","0","0","0"
"5540351","0","0.0000","0","0","0"
"5540352","0","0.0000","0","0","0"
"5540353","0","0.0000","0","0","0"
"5540354","0","0.0000","0","0","0"
"5540355","0","0.0000","0","0","0"
"5540356","0","0.0000","0","0","0"
"5540357","0","0.0000","0","0","0"
"5540358","0","0.0000","0","0","0"
"5540359","0","0.0000","0","0","0"
"5540360","0","0.0000","0","0","0"
"5540361","0","0.0000","0","0","0"
"5540362","0","0.0000","0","0","0"
"5540363","0","0.0000","0","0","0"
"5540364","0","0.0000","0","0","0"
"5540365","0","0.0000","0","0","0"
"5540366","0","0.0000","0","0","0"
"5540367","0","0.0000","0","0","0"
"5540368","0","0.0000","0","0","0"
"5540369","0","0.0000","0","0","0"
"5540370","0","0.0000","0","0","0"
"5540371","0","0.0000","0","0","0"
"5540372","0","0.0000","0","0","0"
"5540373","0","0.0000","0","0","0"
"5540374","0","0.0000","0","0","0"
"5540375","0","0.0000","0","0","0"
"5540376","0","0.0000","0","0","0"
"5540377","0","0.0000","0","0","0"
"5540378","0","0.0000","0","0","0"
"5540379","1","2.0000","3.0966666","6.8257","6"
"5540380","1","2.0000","4.67521427","25.8373","14"
"5540381","0","2.0000","0","0","0"
"5540382","0","0.0000","0","0","0"
"5540383","0","0.0000","0","0","0"
"5540384","0","0.0000","0","0","0"
"5540385","0","0.0000","0","0","0"
"5540386","1","2.0000","0.23333637","2.5589","11"
"5540387","0","0.0000","0","0","0"
"5540388","0","0.0000","0","0","0"
"5540389","0","0.0000","0","0","0"
"5540390","1","2.0000","9.10875465","47.3063","11"
"5540391","0","0.0000","0","0","0"
"5540392","0","0.0000","0","0","0"
"5540393","0","0.0000","0","0","0"
"5540394","0","0.0000","0","0","0"
"5540395","0","0.0000","0","0","0"
"5540396","0","0.0000","0","0","0"
"5540397","0","0.0000","0","0","0"
"5540398","0","0.0000","0","0","0"
"5540399","0","0.0000","0","0","0"
"5540400","0","0.0000","0","0","0"
"5540401","0","0.0000","0","0","0"
"5540402","0","0.0000","0","0","0"
"5540403","0","0.0000","0","0","0"
"5540404","0","0.0000","0","0","0"
"5540405","0","0.0000","0","0","0"
"5540406","0","0.0000","0","0","0"
"5540407","0","0.0000","0","0","0"
"5540408","0","0.0000","0","0","0"
"5540409","0","0.0000","0","0","0"
"5540410","0","0.0000","0","0","0"
"5540411","0","0.0000","0","0","0"
"5540412","0","0.0000","0","0","0"
"5540413","0","0.0000","0","0","0"
"5540414","0","0.0000","0","0","0"
"5540415","0","0.0000","0","0","0"
"5540416","0","0.0000","0","0","0"
"5540417","0","0.0000","0","0","0"
"5540418","0","0.0000","0","0","0"
"5540419","0","0.0000","0","0","0"
"5540420","0","0.0000","0","0","0"
"5540421","0","0.0000","0","0","0"
"5540422","0","0.0000","0","0","0"
"5540423","0","0.0000","0","0","0"
"5540424","0","0.0000","0","0","0"
"5540425","0","0.0000","0","0","0"
"5540426","0","0.0000","0","0","0"
"5540427","0","0.0000","0","0","0"
"5540428","0","0.0000","0","0","0"
"5540429","0","0.0000","0","0","0"
"5540430","0","0.0000","0","0","0"
"5540431","0","0.0000","0","0","0"
"5540432","0","0.0000","0","0","0"
"5540433","0","0.0000","0","0","0"
"5540434","0","0.0000","0","0","0"
"5540435","0","0.0000","0","0","0"
"5540436","0","0.0000","0","0","0"
"5540437","0","0.0000","0","0","0"
"5540438","0","0.0000","0","0","0"
"5540439","0","0.0000","0","0","0"
"5540440","0","0.0000","0","0","0"
"5540441","0","0.0000","0","0","0"
"5540442","0","0.0000","0","0","0"
"5540443","0","0.0000","0","0","0"
"5540444","0","0.0000","0","0","0"
"5540445","0","0.0000","0","0","0"
"5540446","0","0.0000","0","0","0"
"5540447","0","0.0000","0","0","0"
"5540448","0","0.0000","0","0","0"
"5540449","0","0.0000","0","0","0"
"5540450","0","0.0000","0","0","0"
"5540451","0","0.0000","0","0","0"
"5540452","0","0.0000","0","0","0"
"5540453","0","0.0000","0","0","0"
"5540454","0","0.0000","0","0","0"
"5540455","0","0.0000","0","0","0"
"5540456","0","0.0000","0","0","0"
"5540457","0","0.0000","0","0","0"
"5540458","0","0.0000","0","0","0"
"5540459","0","0.0000","0","0","0"
"5540460","0","0.0000","0","0","0"
"5540461","0","0.0000","0","0","0"
"5540462","0","0.0000","0","0","0"
"5540463","0","0.0000","0","0","0"
"5540464","0","0.0000","0","0","0"
"5540465","0","0.0000","0","0","0"
"5540466","0","0.0000","0","0","0"
"5540467","0","0.0000","0","0","0"
"5540468","0","0.0000","0","0","0"
"5540469","0","0.0000","0","0","0"
"5540470","0","0.0000","0","0","0"
"5540471","0","0.0000","0","0","0"
"5540472","0","0.0000","0","0","0"
"5540473","0","0.0000","0","0","0"
"5540474","0","0.0000","0","0","0"
"5540475","0","0.0000","0","0","0"
"5540476","0","0.0000","0","0","0"
"5540477","0","0.0000","0","0","0"
"5540478","0","0.0000","0","0","0"
"5540479","0","0.0000","0","0","0"
"5540480","0","0.0000","0","0","0"
"5540481","0","0.0000","0","0","0"
"5540482","0","0.0000","0","0","0"
"5540483","0","0.0000","0","0","0"
"5540484","0","0.0000","0","0","0"
"5540485","0","0.0000","0","0","0"
"5540486","0","0.0000","0","0","0"
"5540487","0","0.0000","0","0","0"
"5540488","0","0.0000","0","0","0"
"5540489","0","0.0000","0","0","0"
"5540490","0","0.0000","0","0","0"
"5540491","0","0.0000","0","0","0"
"5540492","0","0.0000","0","0","0"
"5540493","0","0.0000","0","0","0"
"5540494","0","0.0000","0","0","0"
"5540495","0","0.0000","0","0","0"
"5540496","0","0.0000","0","0","0"
"5540497","0","0.0000","0","0","0"
"5540498","0","0.0000","0","0","0"
"5540499","0","0.0000","0","0","0"
"5540500","0","0.0000","0","0","0"
"5540501","1","1.0000","0","0","0"
"5540502","0","0.0000","0","0","0"
"5540503","1","1.0000","3.78224993","7.5645","2"
"5540504","0","0.0000","0","0","0"
"5540505","0","0.0000","0","0","0"
"5540506","0","0.0000","0","0","0"
"5540507","0","0.0000","0","0","0"
"5540508","0","0.0000","0","0","0"
"5540509","0","0.0000","0","0","0"
"5540510","0","0.0000","0","0","0"
"5540511","1","2.0000","4.05810012","15.5242","6"
"5540512","1","2.0000","4.276075","16.6589","132"
"5540513","0","0.0000","0","0","0"
"5540514","0","0.0000","0","0","0"
"5540515","0","0.0000","0","0","0"
"5540516","1","2.0000","15.3154552","82.6096","9"
"5540517","1","1.0000","4.23451419","29.2839","7"
"5540518","1","1.0000","8.2986497","47.7451","6"
"5540519","0","0.0000","0","0","0"
"5540520","1","1.0000","0.11145","0.4458","4"
"5540521","0","0.0000","0","0","0"
"5540522","0","0.0000","0","0","0"
"5540523","1","1.0000","0.0120375","0.0963","8"
"5540524","0","0.0000","0","0","0"
"5540525","0","0.0000","0","0","0"
"5540526","0","0.0000","0","0","0"
"5540527","0","0.0000","0","0","0"
"5540528","1","1.0000","0.0734","0.0734","1"
"5540529","0","0.0000","0","0","0"
"5540530","0","0.0000","0","0","0"
"5540531","0","0.0000","0","0","0"
"5540532","0","0.0000","0","0","0"
"5540533","0","0.0000","0","0","0"
"5540534","1","1.0000","11.06679555","26.2192","45"
"5540535","1","1.0000","11.51039462","43.4513","37"
"5540536","1","1.0000","17.61966642","34.2767","3"
"5540537","0","0.0000","0","0","0"
"5540538","0","0.0000","0","0","0"
"5540539","0","0.0000","0","0","0"
"5540540","0","0.0000","0","0","0"
"5540541","0","0.0000","0","0","0"
"5540542","0","0.0000","0","0","0"
"5540543","0","0.0000","0","0","0"
"5540544","0","0.0000","0","0","0"
"5540545","0","0.0000","0","0","0"
"5540546","0","0.0000","0","0","0"
"5540547","0","0.0000","0","0","0"
"5540548","0","0.0000","0","0","0"
"5540549","0","0.0000","0","0","0"
"5540550","0","0.0000","0","0","0"
"5540551","0","0.0000","0","0","0"
"5540552","0","0.0000","0","0","0"
"5540553","0","0.0000","0","0","0"
"5540554","0","0.0000","0","0","0"
"5540555","0","0.0000","0","0","0"
"5540556","1","1.0000","9.63937998","15.8918","5"
"5540557","0","0.0000","0","0","0"
"5540558","0","0.0000","0","0","0"
"5540559","1","1.0000","14.31717978","40.8914","5"
"5540560","0","0.0000","0","0","0"
"5540561","0","0.0000","0","0","0"
