act_key,avg_presence,avg_people_cnt,avg_activity,max_activity,cnt,first_eventtime,lastStatus,부재,,,
5540149,0,0,0,0,0,,,부재,,,
5540150,0,0,0,0,0,,,부재,,,
5540151,0,0,0,0,0,,,부재,,,
5540152,0,0,0,0,0,,,부재,,,
5540153,0,0,0,0,0,,,부재,,,
5540154,0,0,0,0,0,,,부재,,,
5540155,0,0,0,0,0,,,부재,,,
5540156,0,0,0,0,0,,,부재,,,
5540157,0,0,0,0,0,,,부재,,,
5540158,0,0,0,0,0,,,부재,,,
5540159,0,0,0,0,0,,,부재,,,
5540160,0,0,0,0,0,,,부재,,,
5540161,0,0,0,0,0,,,부재,,,
5540162,0,0,0,0,0,,,부재,,,
5540163,0,0,0,0,0,,,부재,,,
5540164,0,0,0,0,0,,,부재,,,
5540165,0,0,0,0,0,,,부재,,,
5540166,0,0,0,0,0,,,부재,,,
5540167,0,0,0,0,0,,,부재,,,
5540168,0,0,0,0,0,,,부재,,,
5540169,0,0,0,0,0,,,부재,,,
5540170,0,0,0,0,0,,,부재,,,
5540171,0,0,0,0,0,,,부재,,,
5540172,0,0,0,0,0,,,부재,,,
5540173,0,0,0,0,0,,,부재,,,
5540174,0,0,0,0,0,,,부재,,,
5540175,0,0,0,0,0,,,부재,,,
5540176,0,0,0,0,0,,,부재,,,
5540177,0,0,0,0,0,,,부재,,,
5540178,0,0,0,0,0,,,부재,,,
5540179,0,0,0,0,0,,,부재,,,
5540180,0,0,0,0,0,,,부재,,,
5540181,0,0,0,0,0,,,부재,,,
5540182,0,0,0,0,0,,,부재,,,
5540183,0,0,0,0,0,,,부재,,,
5540184,0,0,0,0,0,,,부재,,,
5540185,0,0,0,0,0,,,부재,,,
5540186,0,0,0,0,0,,,부재,,,
5540187,0,0,0,0,0,,,부재,,,
5540188,0,0,0,0,0,,,부재,,,
5540189,0,0,0,0,0,,,부재,,,
5540190,0,0,0,0,0,,,부재,,,
5540191,0,0,0,0,0,,,부재,,,
5540192,0,0,0,0,0,,,부재,,,
5540193,0,0,0,0,0,,,부재,,,
5540194,0,0,0,0,0,,,부재,,,
5540195,0,0,0,0,0,,,부재,,,
5540196,0,0,0,0,0,,,부재,,,
5540197,0,0,0,0,0,,,부재,,,
5540198,0,0,0,0,0,,,부재,,,
5540199,0,0,0,0,0,,,부재,,,
5540200,0,0,0,0,0,,,부재,,,
5540201,0,0,0,0,0,,,부재,,,
5540202,0,0,0,0,0,,,부재,,,
5540203,0,0,0,0,0,,,부재,,,
5540204,0,0,0,0,0,,,부재,,,
5540205,0,0,0,0,0,,,부재,,,
5540206,0,0,0,0,0,,,부재,,,
5540207,0,0,0,0,0,,,부재,,,
5540208,0,0,0,0,0,,,부재,,,
5540209,0,0,0,0,0,,,부재,,,
5540210,0,0,0,0,0,,,부재,,,
5540211,0,0,0,0,0,,,부재,,,
5540212,0,0,0,0,0,,,부재,,,
5540213,0,0,0,0,0,,,부재,,,
5540214,0,0,0,0,0,,,부재,,,
5540215,0,0,0,0,0,,,부재,,,
5540216,0,0,0,0,0,,,부재,,,
5540217,0,0,0,0,0,,,부재,,,
5540218,0,0,0,0,0,,,부재,,,
5540219,0,0,0,0,0,,,부재,,,
5540220,0,0,0,0,0,,,부재,,,
5540221,0,0,0,0,0,,,부재,,,
5540222,0,0,0,0,0,,,부재,,,
5540223,0,0,0,0,0,,,부재,,,
5540224,0,0,0,0,0,,,부재,,,
5540225,0,0,0,0,0,,,부재,,,
5540226,0,0,0,0,0,,,부재,,,
5540227,0,0,0,0,0,,,부재,,,
5540228,0,0,0,0,0,,,부재,,,
5540229,0,0,0,0,0,,,부재,,,
5540230,0,0,0,0,0,,,부재,,,
5540231,0,0,0,0,0,,,부재,,,
5540232,0,0,0,0,0,,,부재,,,
5540233,0,0,0,0,0,,,부재,,,
5540234,0,0,0,0,0,,,부재,,,
5540235,1,2,4.61764447,14.1532,18,,,재실,,,
5540236,0,0,0,0,0,,,부재,,,
5540237,0,0,0,0,0,,,부재,,,
5540238,0,0,0,0,0,,,부재,,,
5540239,0,0,0,0,0,,,부재,,,
5540240,0,0,0,0,0,,,부재,,,
5540241,1,2,0.45885001,3.3993,12,,,재실,,,
5540242,0,0,0,0,0,,,부재,,,
5540243,0,0,0,0,0,,,부재,,,
5540244,0,0,0,0,0,,,부재,,,
5540245,0,0,0,0,0,,,부재,,,
5540246,1,1,5.74856011,22.2301,10,,,재실,,,
5540247,0,0,0,0,0,,,부재,,,
5540248,0,0,0,0,0,,,부재,,,
5540249,0,0,0,0,0,,,부재,,,
5540250,0,0,0,0,0,,,부재,,,
5540251,0,0,0,0,0,,,부재,,,
5540252,0,0,0,0,0,,,부재,,,
5540253,0,0,0,0,0,,,부재,,,
5540254,0,0,0,0,0,,,부재,,,
5540255,0,0,0,0,0,,,부재,,,
5540256,0,0,0,0,0,,,부재,,,
5540257,1,1,0.00834444,34.5675,9,,,재실,,,
5540258,0,0,0,0,0,,,부재,,,
5540259,0,0,0,0,0,,,부재,,,
5540260,0,0,0,0,0,,,부재,,,
5540261,0,0,0,0,0,,,부재,,,
5540262,0,0,0,0,0,,,부재,,,
5540263,0,0,0,0,0,,,부재,,,
5540264,0,0,0,0,0,,,부재,,,
5540265,0,0,0,0,0,,,부재,,,
5540266,1,2,4.8014585,34.8327,41,,,재실,,,
5540267,0,0,0,0,0,,,부재,,,
5540268,0,0,0,0,0,,,부재,,,
5540269,0,0,0,0,0,,,부재,,,
5540270,0,0,0,0,0,,,부재,,,
5540271,0,0,0,0,0,,,부재,,,
5540272,0,0,0,0,0,,,부재,,,
5540273,0,0,0,0,0,,,부재,,,
5540274,0,0,0,0,0,,,부재,,,
5540275,0,0,0,0,0,,,부재,,,
5540276,0,0,0,0,0,,,부재,,,
5540277,0,0,0,0,0,,,부재,,,
5540278,0,0,0,0,0,,,부재,,,
5540279,0,0,0,0,0,,,부재,,,
5540280,1,2,6.147325,29.2364,16,,,재실,,,
5540281,1,2,5.87757086,35.552,103,,,재실,,,
5540282,1,1,0.89109999,0.8911,1,,,재실,,,
5540283,1,1,7.28525768,38.702,26,,,재실,,,
5540284,1,1,8.6103667,30.0673,15,,,재실,,,
5540285,0,0,0,0,0,,,부재,,,
5540286,0,0,0,0,0,,,부재,,,
5540287,0,0,0,0,0,,,부재,,,
5540288,0,0,0,0,0,,,부재,,,
5540289,1,1,23.98877465,40.4521,4,,,재실,,,
5540290,0,0,0,0,0,,,부재,,,
5540291,0,0,0,0,0,,,부재,,,
5540292,0,0,0,0,0,,,부재,,,
5540293,0,0,0,0,0,,,부재,,,
5540294,1,2,3.46358333,18.0616,18,,,재실,,,
5540295,1,2,5.02515991,28.6785,10,,,재실,,,
5540296,0,0,0,0,0,,,부재,,,
5540297,0,0,0,0,0,,,부재,,,
5540298,0,0,0,0,0,,,부재,,,
5540299,0,0,0,0,0,,,부재,,,
5540300,0,0,0,0,0,,,부재,,,
